Alarm Group ID,Alarm Group Name,Alarm ID,Alarm Name,Alarm Severity
125,BTS3900 WCDMA,26842,Automatic Certificate Update Failed,Major
268390522,BTS5900 LTE,26842,Automatic Certificate Update Failed,Major
268390526,BTS5900 5G,26842,Automatic Certificate Update Failed,Major
268390521,BTS5900,26255,Automatic Version Rollback,Major
8193,GBTS,26255,Automatic Version Rollback,Major
268390523,BTS5900 WCDMA,26255,Automatic Version Rollback,Major
8200,BTS3900 LTE,26255,Automatic Version Rollback,Major
268390417,BTS3900,26255,Automatic Version Rollback,Major
268390526,BTS5900 5G,26255,Automatic Version Rollback,Major
268390540,BTS3900 5G,26255,Automatic Version Rollback,Major
268390408,BSC6910GSM,26255,Automatic Version Rollback,Major
125,BTS3900 WCDMA,26255,Automatic Version Rollback,Major
268390522,BTS5900 LTE,26255,Automatic Version Rollback,Major
268390451,MICRO BTS3900,26255,Automatic Version Rollback,Major
100000,OSS,650008,Available Resources on Management Nodes Are Going to Be Insufficient,Major
100000,OSS,118,Avalanche alarm,Major
100000,OSS,103606,Average I/O Wait Too Long,Major
268390521,BTS5900,65203,BATERIA EM DESCARGA,Major
268390521,BTS5900,65212,BATERIA LITIO DESCARREGADA,Major
268390521,BTS5900,65211,BATERIA LITIO DESLIGADA,Major
268390521,BTS5900,65087,BATERIA LITIO FORA OPERAÇÃO,Major
268390521,BTS5900,26205,BBU Board Maintenance Link Failure,Major
125,BTS3900 WCDMA,26205,BBU Board Maintenance Link Failure,Major
268390526,BTS5900 5G,26205,BBU Board Maintenance Link Failure,Major
268390540,BTS3900 5G,26205,BBU Board Maintenance Link Failure,Major
268390523,BTS5900 WCDMA,26205,BBU Board Maintenance Link Failure,Major
8193,GBTS,26205,BBU Board Maintenance Link Failure,Major
268390408,BSC6910GSM,26205,BBU Board Maintenance Link Failure,Major
268390417,BTS3900,26205,BBU Board Maintenance Link Failure,Major
8200,BTS3900 LTE,26205,BBU Board Maintenance Link Failure,Major
268390522,BTS5900 LTE,26205,BBU Board Maintenance Link Failure,Major
268390521,BTS5900,26234,BBU CPRI Interface Error,Minor
268390522,BTS5900 LTE,26234,BBU CPRI Interface Error,Minor
268390540,BTS3900 5G,26234,BBU CPRI Interface Error,Minor
268390451,MICRO BTS3900,26234,BBU CPRI Interface Error,Minor
268390526,BTS5900 5G,26234,BBU CPRI Interface Error,Minor
8200,BTS3900 LTE,26234,BBU CPRI Interface Error,Minor
